"movieid","name","age","date","rate","directorname","producername","actorname","oscar"
"1","Iron Man","14","2008-10-28","9","Jon Favreau","Avi Arad","Robert Downey Jr","Yes"
"2","The Incredible Hulk","14","2008-07-13","6","Louis Leterrier","Avi Arad","Edward Norton","No"
"3","Iron Man 2","12","2010-05-07","7","Louis Leterrier","Kevin Feige","Robert Downey Jr","Yes"
"4","Thor","11","2011-05-06","7","Keneth Branagh","Kevin Feige","Chris Hemsworth","No"
"5","Ant Man","7","2015-07-17","7","Payton Reed","Kevin Feige","Paul Rudd","No"
"6","Guardians of the galaxy","8","2014-08-01","8","James Gunn","Kevin Feige","Chris Pratt","Yes"
"7","Doctor Strange","6","2016-10-13","7","Scott Derrickson","Kevin Feige","Benedict Cumberbatch","No"
"8","Deadpool","6","2016-02-08","8","Tim Miller","Simon Kinberg","Ryan Reynolds","Yes"
"9","Spider-Man","20","2002-04-29","7","Sam Raimi","Laura Ziskin","Tobey Maguire","Yes"
"10","Captain America: The First Avenger","11","2011-06-19","7","Joe Johnston","Kevin Feige","Chris Evans","Yes"
